Id,metric_alias_widget_1292_0,metric_alias_widget_1292_1
StatusCode,Complete,Complete
Messages,,
Full label,us-east-1:ECS/ContainerInsights ClusterName:fargate-benchmark-cluster-ov2 NetworkTxBytes Average 3600,us-east-1:ECS/ContainerInsights ClusterName:fargate-benchmark-cluster-ov2 NetworkRxBytes Average 3600
Label,NetworkTxBytes,NetworkRxBytes
2025/07/13 01:30:00,195.05,297.2
2025/07/13 02:30:00,196.95,297.6666666666667
2025/07/13 03:30:00,183.15,295.2
2025/07/13 04:30:00,198.73333333333332,298.2
2025/07/13 05:30:00,183.16666666666666,295.18333333333334
2025/07/13 06:30:00,209.71666666666667,300.56666666666666
2025/07/13 07:30:00,182.63333333333333,294.8833333333333
2025/07/13 08:30:00,197.96666666666667,298.06666666666666
2025/07/13 09:30:00,184.18333333333334,295.31666666666666
2025/07/13 10:30:00,200.76666666666668,298.3666666666667
2025/07/13 11:30:00,196.03333333333333,300.21666666666664
2025/07/13 12:30:00,190.63333333333333,296.6333333333333
2025/07/13 13:30:00,199.4,302.76666666666665
2025/07/13 14:30:00,182.15,295.15
2025/07/13 15:30:00,197.46666666666667,298.15
